device_id,text_path,total_words,tech_stat_terms_count,bio_label_terms_count,structural_social_terms_count,structural_core_count,mismatch_numerator,mismatch_denominator,mismatch_metric,mismatch_metric_is_inf,mismatch_metric_safe
K232384,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K232384.txt,4979,15,0,6,0,15,6,2.5,0,2.500000
K233216,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K233216.txt,3140,15,0,6,0,15,6,2.5,0,2.500000
K243363,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K243363.txt,3884,20,0,8,0,20,8,2.5,0,2.500000
K200905,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K200905.txt,3218,22,0,9,0,22,9,2.4444444444444446,0,2.444444
K220598,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K220598.txt,4686,17,0,7,0,17,7,2.4285714285714284,0,2.428571
K221309,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K221309.txt,5270,19,0,8,0,19,8,2.375,0,2.375000
K221564,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K221564.txt,6808,19,0,8,0,19,8,2.375,0,2.375000
K213971,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K213971.txt,3709,14,0,6,0,14,6,2.3333333333333335,0,2.333333
K231805,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K231805.txt,3002,14,0,6,0,14,6,2.3333333333333335,0,2.333333
K231195,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K231195.txt,4662,23,0,10,0,23,10,2.3,0,2.300000
K250882,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K250882.txt,3300,16,0,7,0,16,7,2.2857142857142856,0,2.285714
K241770,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K241770.txt,6915,18,0,8,0,18,8,2.25,0,2.250000
K242837,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K242837.txt,4083,18,0,8,0,18,8,2.25,0,2.250000
K251368,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/1.5-Policy/data/raw_text/K251368.txt,7921,18,0,8,0,18,8,2.25,0,2.250000
