device_id,has_race_token,has_ethnicity_token,has_race_or_ethnicity,has_racial_or_ethnic_adj,has_race_ethnicity_phrase,has_demographic_token,fda1_style_table_proxy
K200743,False,False,False,False,False,False,False
K200750,False,False,False,False,False,False,False
K200755,False,False,False,False,False,False,False
K200760,False,False,False,False,False,False,False
K200828,False,False,False,False,False,False,False
K200833,False,False,False,False,False,False,False
K200851,False,False,False,False,False,False,False
K200852,False,False,False,False,False,False,False
K200855,False,False,False,False,False,False,False
K200873,False,False,False,False,False,False,False
K200905,False,False,False,False,False,False,False
K200921,False,False,False,False,False,False,False
K200941,False,False,False,False,False,False,False
K200974,False,False,False,False,False,False,False
K200980,False,False,False,False,False,False,False
K200990,False,False,False,False,False,False,False
K201012,False,False,False,False,False,False,False
K201019,False,False,False,False,False,False,False
K201020,False,False,False,False,False,False,False
K201034,False,False,False,False,False,False,False
K201039,False,False,False,False,False,True,False
K201103,False,False,False,False,False,False,False
K201195,False,False,False,False,False,False,False
K201232,False,False,False,False,False,False,False
K201298,False,False,False,False,False,False,False
K201301,False,False,False,False,False,False,False
K201310,False,False,False,False,False,False,False
K201369,False,False,False,False,False,False,False
K201411,False,False,False,False,False,False,False
K201444,False,False,False,False,False,False,False
K201555,False,False,False,False,False,False,False
K201560,False,False,False,False,False,False,False
K201615,False,False,False,False,False,False,False
K201632,False,False,False,False,False,False,False
K201710,False,False,False,False,False,False,False
K201745,False,False,False,False,False,False,False
K201836,False,False,False,False,False,False,False
K201841,False,False,False,False,False,False,False
K201985,False,False,False,False,False,False,False
K201992,False,False,False,False,False,False,False
K202013,False,False,False,False,False,False,False
K202089,False,False,False,False,False,False,False
K202170,False,False,False,False,False,False,False
K202212,False,False,False,False,False,False,False
K202229,False,False,False,False,False,False,False
K202238,False,False,False,False,False,False,False
K202280,False,False,False,False,False,False,False
K202284,False,False,False,False,False,False,False
K202300,False,False,False,False,False,True,False
K202404,False,False,False,False,False,False,False
K202414,False,False,False,False,False,False,False
K202441,False,False,False,False,False,False,False
K202487,False,False,False,False,False,False,False
K202501,False,False,False,False,False,False,False
K202527,False,False,False,False,False,False,False
K202546,False,False,False,False,False,False,False
K202700,False,False,False,False,False,False,False
K202718,False,False,False,False,False,False,False
K202767,False,False,False,False,False,False,False
K202927,False,False,False,False,False,False,False
K202928,False,False,False,False,False,False,False
K202990,False,False,False,False,False,False,False
K202992,False,False,False,False,False,False,False
K203042,False,False,False,False,False,False,False
K203103,False,False,False,False,False,False,False
K203169,False,False,False,False,False,False,False
K203182,False,False,False,False,False,False,False
K203225,False,False,False,False,False,False,False
