device_id,raw_token_count,filtered_token_count,unique_filtered
K210001,1554,734,397
K210034,5614,3602,838
K210053,1373,646,393
K210069,1951,1081,483
K210071,1942,888,435
K210085,2358,1207,508
K210187,1861,974,486
K210209,1998,1033,476
K210237,3167,1574,567
K210365,3084,1815,681
K210404,2199,1095,524
K210426,1579,800,398
K210438,2097,1161,494
K210458,2763,1498,508
K210484,1838,913,483
K210543,3199,1696,588
K210556,2316,1256,566
K210611,2374,1207,618
K210632,1932,1033,393
K210645,1957,980,475
K210666,2354,1325,563
K210670,4575,2723,818
K210719,1946,868,497
K210747,1864,958,445
K210760,2142,1064,449
K210791,2090,1115,595
K210807,2178,1130,465
K210822,2653,1302,512
K210831,2425,1304,553
K210999,1849,874,460
K211118,1418,662,370
K211161,2042,1129,462
K211179,2539,1285,508
K211222,1922,990,440
K211279,2178,1173,446
K211326,1330,628,395
K211379,2210,1162,512
K211431,2416,1286,537
K211443,1915,982,429
K211459,2021,1046,495
K211506,1638,829,362
K211541,1799,904,463
K211597,2273,1187,424
K211611,2253,1173,498
K211655,2670,1406,582
K211678,3085,1779,597
K211733,3139,1900,574
K211764,2421,1180,507
K211788,1649,792,395
K211803,2184,1087,494
K211824,2397,1439,545
K211828,1815,923,439
K211841,2211,1146,468
K211846,2175,1144,530
K211867,1482,694,337
K211881,1525,680,387
K211906,1901,971,486
K211945,1636,812,417
K211951,1803,907,453
K211964,1336,632,351
K211966,1873,874,468
K211980,1613,782,395
K212005,2106,1106,502
K212012,1945,982,452
K212067,1941,980,485
K212074,1396,606,359
K212100,3123,1910,653
K212116,2667,1417,489
K212218,1489,699,363
K212219,2453,1321,541
K212230,2276,1217,535
K212261,2685,1334,534
K212265,2274,1318,515
K212269,1526,721,376
K212274,1779,929,480
K212333,1815,924,445
K212336,2081,964,439
K212365,2802,1658,547
K212383,3278,1921,743
K212441,3465,1914,808
K212442,3774,2081,677
K212456,1591,778,428
K212466,1401,659,378
K212516,2436,1273,468
K212519,2958,1658,679
K212616,6596,3876,1051
K212624,2483,1276,496
K212654,2854,1543,642
K212662,2616,1376,548
K212690,1768,897,431
K212704,2160,1118,409
K212758,2244,1223,519
K212783,3515,1958,717
K212915,2027,974,460
K212960,1921,1025,488
K213037,2680,1366,570
K213096,3009,1683,583
K213155,1936,943,426
K213165,3410,1950,689
K213272,2234,1225,568
K213275,2091,1127,548
K213305,2597,1471,627
K213307,1682,860,412
K213319,2595,1304,505
K213353,2385,1344,523
K213357,2313,1284,496
K213409,2143,1103,494
K213436,2127,1167,461
K213504,4862,2736,693
K213544,2704,1474,642
K213566,2399,1254,627
K213583,2523,1368,531
K213603,1547,747,396
K213628,1765,888,391
K213642,1846,997,460
K213645,1565,799,413
K213657,2055,1118,476
K213668,1609,773,390
K213686,3381,1987,760
K213689,1597,818,436
K213693,2535,1440,718
K213706,2871,1639,614
K213713,2522,1367,545
K213717,1637,781,397
K213721,2649,1354,562
K213725,1851,966,469
K213737,2031,1075,469
K213760,2078,1098,452
K213776,2557,1517,504
K213779,1266,549,333
K213794,2334,1177,482
K213795,2176,1205,553
K213857,1905,1006,475
K213882,2148,1070,520
K213886,2735,1437,568
K213938,1750,886,415
K213941,2112,1046,506
K213944,2470,1220,477
K213960,3383,1892,621
K213971,2717,1598,550
K213976,2277,1254,484
K213986,1766,852,395
K213998,2962,1640,568
K213999,1960,1008,504
K214019,1773,911,452
K214036,3744,2225,774
K214043,2398,1244,574
K214081,2796,1533,576
K220013,2010,1103,495
K220034,2041,1204,564
K220043,1933,1107,488
K220068,2065,1096,510
K220080,2286,1229,505
K220105,1985,1026,503
K220141,1569,742,382
K220151,1989,943,443
K220164,2774,1547,621
K220192,2499,1381,611
K220264,1792,923,419
K220332,4541,2517,757
K220349,3058,1693,616
K220358,2472,1294,574
K220408,3057,1845,639
K220416,1897,945,475
K220437,2221,1259,526
K220439,2169,1142,491
K220446,2064,1110,523
K220497,3151,1724,703
K220499,2390,1244,479
K220575,2117,1045,513
K220589,1981,927,438
K220590,2416,1341,564
K220598,2809,1594,600
K220619,2081,1119,539
K220624,2074,1175,543
K220709,2798,1505,604
K220766,1809,923,392
K220783,2499,1307,622
K220786,3177,1774,619
K220800,2434,1300,652
K220813,8351,4824,1249
K220815,1603,805,447
K220848,2476,1344,661
K220851,2511,1353,672
K220882,1874,1007,512
K220899,2680,1404,525
K220928,2273,1250,577
K220939,2813,1520,675
K220940,1756,884,469
K220956,1938,986,491
K220961,1731,863,435
K220975,1951,997,523
K220986,2091,1121,481
K221100,1650,802,377
K221106,1661,825,432
K221147,2226,1176,562
K221148,2152,1150,560
K221179,2426,1263,551
K221183,3788,1985,698
K221203,1197,568,335
K221219,2083,1094,482
K221240,2535,1324,555
K221241,2472,1310,514
K221248,2228,1127,476
K221305,3612,2024,683
K221309,3975,2282,814
K221314,2537,1309,550
K221330,3166,1740,661
K221347,1983,979,507
K221393,1600,778,444
K221432,1448,643,386
K221449,2411,1280,571
K221456,2304,1254,469
K221463,1933,1052,537
K221552,1943,1020,479
K221564,5236,3065,895
K221592,3430,1979,796
K221599,2310,1237,607
K221624,3474,1811,600
K221632,1527,730,388
K221680,2859,1546,604
K221706,1976,1033,474
K221716,2902,1478,558
K221727,1800,945,468
K221733,1896,909,461
K221738,1423,687,389
K221762,2050,1005,482
K221772,1749,944,452
K221868,2380,1193,466
K221892,2279,1142,546
K221921,2729,1601,570
K221923,1543,749,426
K221962,1628,781,438
K222036,2687,1350,548
K222070,4349,2561,882
K222076,2158,1113,484
K222172,1785,826,487
K222174,1988,1058,506
K222176,3312,2008,544
K222179,2227,1091,487
K222268,2077,993,466
K222275,1625,803,433
K222277,2708,1425,601
K222312,3997,2324,967
K222329,2564,1314,557
K222360,2830,1519,598
K222361,2443,1260,606
K222389,1773,850,450
K222406,3507,1797,690
K222428,3310,1782,640
K222458,2167,1109,486
K222579,2361,1282,518
K222593,2861,1661,602
K222676,1786,849,394
K222692,2308,1197,547
K222728,5393,3076,794
K222745,2553,1292,468
K222746,2821,1551,591
K222755,3377,1887,708
K222803,2775,1550,603
K222819,2478,1369,563
K222884,3093,1687,579
K222921,1857,962,424
K222970,1507,734,398
K223028,2753,1452,580
K223032,1882,871,426
K223042,2334,1129,401
K223073,1910,957,479
K223106,2943,1617,612
K223133,2339,1236,530
K223180,1887,943,497
K223212,1663,817,423
K223240,2084,1010,476
K223247,1479,706,410
K223268,1740,924,458
K223287,1748,835,448
K223288,2742,1563,606
K223296,2326,1245,473
K223311,4319,2346,858
K223325,2040,1036,499
K223343,2782,1427,613
K223347,3601,1968,687
K223357,3369,1964,629
K223387,3066,1651,656
K223396,1659,797,401
K223424,1938,1031,455
K223426,3412,1978,683
K223439,1621,778,395
K223442,2442,1236,478
K223443,2655,1374,471
K223458,2601,1369,527
K223473,2919,1735,661
K223490,2117,1082,480
K223491,2387,1323,540
K223501,2969,1487,679
K223502,2197,1191,505
K223504,3452,1825,668
K223514,1792,905,437
K223516,2119,1193,509
K223523,1611,807,430
K223539,2233,1167,559
K223552,2369,1318,506
K223553,1683,897,433
K223556,2500,1272,556
K223621,1820,1052,466
K223622,2850,1598,686
K223623,1386,654,381
K223630,1614,772,389
K223639,2603,1447,575
K223646,2509,1394,577
K223659,1740,842,435
K223724,2687,1372,607
K223726,1791,929,442
K223734,2156,1113,535
K223738,2692,1292,540
K223754,3260,1790,644
K223757,2145,1062,513
K223771,2819,1501,640
K223774,2451,1369,528
K223811,2108,1144,501
K223830,3254,1941,685
K223855,2802,1520,529
K223864,2441,1379,588
K223905,1995,1077,529
K230020,2700,1426,585
K230023,6920,4199,1029
K230039,2665,1309,553
K230045,2636,1452,610
K230074,2826,1530,532
K230082,2318,1252,553
K230084,2528,1439,569
K230085,2207,1168,511
K230096,2419,1309,514
K230112,1807,929,416
K230144,2093,1033,490
K230150,1357,614,365
K230179,2542,1404,768
K230197,2159,1052,507
K230208,1611,784,444
K230209,2405,1309,632
K230220,3194,1737,671
K230223,2318,1182,475
K230252,1604,810,420
K230264,1567,745,408
K230273,2322,1231,546
K230292,2540,1453,569
K230337,2016,974,495
K230346,2203,1223,625
K230355,3232,1901,757
K230365,2371,1277,512
K230370,2886,1702,649
K230497,1507,741,429
K230534,2368,1182,517
K230552,2114,1085,481
K230553,1605,798,415
K230575,2152,1115,450
K230658,2413,1300,490
K230685,3686,2257,782
K230751,3808,2418,784
K230772,1699,837,435
K230807,1855,963,468
K230812,3486,1985,690
K230823,2136,1091,449
K230842,2760,1510,579
K230850,2860,1508,574
K230854,1952,944,492
K230899,2854,1525,524
K230913,1914,928,501
K230977,1416,647,371
K231001,2836,1551,590
K231010,2565,1287,609
K231025,1986,1005,461
K231038,1643,803,379
K231068,5387,2983,750
K231094,2249,1089,491
K231130,2675,1492,608
K231143,2330,1171,532
K231149,2009,1019,419
K231157,3975,2303,825
K231173,1998,917,459
K231190,1737,827,411
K231195,3402,1848,620
K231207,2109,1164,587
K231281,1642,814,406
K231324,2753,1424,644
K231335,2008,1107,515
K231355,2856,1609,597
K231384,2029,953,456
K231396,1978,994,490
K231398,2393,1106,527
K231459,3785,2272,691
K231470,2260,1207,517
K231560,3303,1783,694
K231570,2448,1215,542
K231572,1826,893,434
K231587,3196,1662,756
K231617,3029,1542,579
K231631,2662,1353,576
K231642,1727,830,410
K231668,1542,746,389
K231677,2482,1276,591
K231678,1634,812,387
K231683,2233,1103,554
K231690,2334,1175,531
K231748,2312,1219,522
K231757,1791,919,463
K231764,2754,1561,594
K231765,3441,1942,744
K231767,1973,932,443
K231772,2272,1171,574
K231779,2941,1545,535
K231805,2187,1132,489
K231833,1996,1070,461
K231837,3634,1926,699
K231855,2682,1391,542
K231871,2974,1569,546
K231898,2617,1376,588
K231917,2371,1134,495
K231928,3088,1837,655
K231929,4119,2310,729
K231955,1576,728,393
K231965,3877,2207,851
K231966,2385,1233,562
K231989,2385,1246,541
K232000,2619,1345,650
K232023,2284,1075,550
K232035,2349,1176,525
K232045,5378,3309,753
K232083,2262,1121,497
K232096,2671,1389,614
K232140,3182,1741,665
K232145,4391,2603,711
K232148,4580,2511,876
K232156,3667,2045,736
K232231,2194,1103,510
K232237,3827,2091,674
K232250,2436,1216,525
K232257,3939,1995,621
K232305,3962,2315,727
K232322,4300,2367,983
K232331,1604,764,418
K232363,2321,1194,458
K232367,910,368,266
K232381,2203,1153,543
K232384,3862,2134,678
K232410,2326,1140,543
K232412,2331,1127,511
K232416,4044,2791,700
K232431,1895,906,456
K232436,2581,1378,536
K232440,1970,905,460
K232479,8715,4972,1292
K232482,2016,986,437
K232491,4166,2191,931
K232494,2507,1193,496
K232496,4002,2216,659
K232500,3106,1550,624
K232501,1802,836,479
K232526,1523,708,363
K232535,2915,1505,689
K232613,3163,1598,577
K232616,2503,1433,522
K232661,2545,1373,524
K232686,3225,1723,643
K232698,3574,2052,710
K232699,2851,1605,648
K232704,2573,1422,522
K232712,2169,1091,518
K232751,2946,1506,589
K232760,1758,839,463
K232765,3180,1667,758
K232787,1754,936,376
K232799,2630,1446,553
K232808,2384,1240,527
K232835,2246,1191,517
K232841,2722,1410,566
K232856,3823,2002,777
K232899,4070,2298,765
K232915,3893,2165,683
K232923,2192,1089,575
K232928,3456,2033,733
K233030,2863,1373,573
K233080,2103,992,444
K233108,2781,1515,625
K233112,2482,1315,631
K233176,3584,1822,601
K233186,3545,1739,575
K233195,2111,1020,467
K233196,2918,1631,672
K233209,5230,2817,706
K233211,2906,1571,718
K233216,2334,1078,511
K233243,3450,1991,663
K233247,2460,1252,561
K233249,2309,1135,573
K233253,2196,1099,524
K233334,1781,885,456
K233342,3569,1942,696
K233409,2558,1364,573
K233438,3294,1769,722
K233457,3132,1583,657
K233512,2909,1598,586
K233543,2632,1322,532
K233545,1753,821,431
K233549,2334,1147,518
K233562,1717,825,429
K233568,2055,965,427
K233582,3545,2011,649
K233590,2282,1183,454
K233618,2717,1364,573
K233625,2010,1035,488
K233650,8387,5258,1092
K233657,6835,4156,1098
K233666,2736,1452,612
K233673,3243,1671,696
K233676,2159,1141,588
K233677,2048,1038,494
K233687,3585,1997,721
K233692,2061,1063,500
K233698,1864,909,448
K233728,1961,978,453
K233731,2907,1585,618
K233738,1761,828,404
K233749,1981,1007,485
K233753,3146,1715,638
K233755,2647,1408,559
K233788,3629,1975,614
K233822,2279,1171,498
K233826,1036,439,312
K233864,2756,1486,639
K233925,1539,644,348
K233955,3971,2026,709
K233964,2161,1054,522
K233968,3151,1524,617
K233977,2268,1077,505
K233984,1725,838,406
K233992,1713,854,409
K233998,3928,2212,686
K234009,3161,1713,508
K234042,2490,1280,608
K234047,1762,863,422
K234068,2589,1304,542
K234141,3036,1732,723
K234154,3508,1898,762
K240003,3342,1860,667
K240013,3511,1788,710
K240036,2911,1536,662
K240044,4639,2707,911
K240058,3526,1787,649
K240062,1886,937,485
K240094,3957,2001,769
K240172,2094,1033,442
K240200,5060,3009,836
K240238,3573,2075,792
K240285,2569,1356,561
K240290,3832,2106,787
K240291,2125,1094,497
K240294,3464,1887,733
K240301,2817,1578,592
K240353,2554,1346,611
K240369,2674,1368,502
K240398,9032,5273,1500
K240406,2906,1670,542
K240408,4078,2289,659
K240411,3699,1958,634
K240417,2458,1283,531
K240465,2857,1530,604
K240516,2699,1426,586
K240540,1755,807,399
K240553,1812,849,466
K240554,2468,1245,534
K240555,5277,2798,794
K240582,4446,2489,759
K240612,2896,1433,624
K240631,2542,1371,606
K240642,1942,942,485
K240645,2277,1207,561
K240680,3489,1981,694
K240697,4845,2676,773
K240704,3459,1998,580
K240712,5200,3035,942
K240736,1963,966,474
K240740,2792,1506,679
K240744,1860,869,413
K240769,1483,684,379
K240773,2915,1621,560
K240781,2311,1231,458
K240791,3329,1795,615
K240793,3277,1766,674
K240795,3853,2037,637
K240845,3016,1670,645
K240850,5149,2861,682
K240860,4313,2305,787
K240926,3232,1527,569
K240929,3300,1743,689
K240942,3178,1551,634
K240943,2075,1019,503
K240944,1669,785,459
K240953,2741,1345,661
K240980,4985,2944,850
K240993,13707,8309,1310
K241009,2056,1052,508
K241029,3166,1627,637
K241038,2541,1455,562
K241079,2809,1516,552
K241083,1651,741,413
K241098,2395,1266,588
K241108,3209,1787,696
K241112,2302,1125,481
K241121,1737,825,469
K241166,2800,1483,594
K241197,2246,1059,424
K241200,4063,2395,737
K241211,2665,1364,563
K241222,2956,1477,608
K241232,3581,2070,653
K241242,2064,1009,485
K241245,2746,1333,618
K241280,2325,1252,543
K241292,1594,761,407
K241312,2538,1303,554
K241329,2495,1309,593
K241331,2725,1537,699
K241350,1992,894,451
K241380,4479,2505,888
