k_number,pdf_url,pdf_path,text_path,status,error
K233662,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K233662.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/K233662.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/K233662.txt,failed,No /Root object! - Is this really a PDF?
K955841,https://www.accessdata.fda.gov/cdrh_docs/pdf95/K955841.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/K955841.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/K955841.txt,failed,No PDF link found on PMN page.
K003301,https://www.accessdata.fda.gov/cdrh_docs/pdf00/K003301.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/K003301.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/K003301.txt,failed,fetch_summary_pdf_url_from_pmn() got an unexpected keyword argument 'k_number'
K233662,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K233662.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/K233662.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/K233662.txt,failed,fetch_summary_pdf_url_from_pmn() got an unexpected keyword argument 'k_number'
K955841,https://www.accessdata.fda.gov/cdrh_docs/pdf95/K955841.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/K955841.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/K955841.txt,failed,fetch_summary_pdf_url_from_pmn() got an unexpected keyword argument 'k_number'
P000041,https://www.accessdata.fda.gov/cdrh_docs/pdf00/P000041.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/P000041.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/P000041.txt,failed,fetch_summary_pdf_url_from_pmn() got an unexpected keyword argument 'k_number'
P010034,https://www.accessdata.fda.gov/cdrh_docs/pdf01/P010034.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/P010034.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/P010034.txt,failed,fetch_summary_pdf_url_from_pmn() got an unexpected keyword argument 'k_number'
P040028,https://www.accessdata.fda.gov/cdrh_docs/pdf04/P040028.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/P040028.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/P040028.txt,failed,fetch_summary_pdf_url_from_pmn() got an unexpected keyword argument 'k_number'
P090012,https://www.accessdata.fda.gov/cdrh_docs/pdf09/P090012.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/P090012.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/P090012.txt,failed,fetch_summary_pdf_url_from_pmn() got an unexpected keyword argument 'k_number'
P110014,https://www.accessdata.fda.gov/cdrh_docs/pdf11/P110014.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/P110014.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/P110014.txt,failed,fetch_summary_pdf_url_from_pmn() got an unexpected keyword argument 'k_number'
P140011/S008,https://www.accessdata.fda.gov/cdrh_docs/pdf14/P140011.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/P140011_S008.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/P140011_S008.txt,failed,fetch_summary_pdf_url_from_pmn() got an unexpected keyword argument 'k_number'
P150043,https://www.accessdata.fda.gov/cdrh_docs/pdf15/P150043.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/P150043.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/P150043.txt,failed,fetch_summary_pdf_url_from_pmn() got an unexpected keyword argument 'k_number'
P150046,https://www.accessdata.fda.gov/cdrh_docs/pdf15/P150046.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/P150046.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/P150046.txt,failed,fetch_summary_pdf_url_from_pmn() got an unexpected keyword argument 'k_number'
P160009,https://www.accessdata.fda.gov/cdrh_docs/pdf16/P160009.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/P160009.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/P160009.txt,failed,fetch_summary_pdf_url_from_pmn() got an unexpected keyword argument 'k_number'
P200003,https://www.accessdata.fda.gov/cdrh_docs/pdf20/P200003.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/P200003.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/P200003.txt,failed,fetch_summary_pdf_url_from_pmn() got an unexpected keyword argument 'k_number'
P210011,https://www.accessdata.fda.gov/cdrh_docs/pdf21/P210011.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/P210011.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/P210011.txt,failed,fetch_summary_pdf_url_from_pmn() got an unexpected keyword argument 'k_number'
P210015,https://www.accessdata.fda.gov/cdrh_docs/pdf21/P210015.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/P210015.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/P210015.txt,failed,fetch_summary_pdf_url_from_pmn() got an unexpected keyword argument 'k_number'
P230022,https://www.accessdata.fda.gov/cdrh_docs/pdf23/P230022.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/P230022.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/P230022.txt,failed,fetch_summary_pdf_url_from_pmn() got an unexpected keyword argument 'k_number'
P940029,https://www.accessdata.fda.gov/cdrh_docs/pdf94/P940029.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/pdfs/P940029.pdf,/Users/winko/Library/Mobile Documents/com~apple~CloudDocs/Research/Policy/data/raw_text/P940029.txt,failed,fetch_summary_pdf_url_from_pmn() got an unexpected keyword argument 'k_number'
